zona,atraccion,tiempo_espera,ultima_actualizacion,fecha,hora,dia_semana
Cartoon Village,A Toda Máquina,5,2025-11-22 13:45:12+00:00,2025-11-22,14:49,Saturday
Cartoon Village,Academia de Pilotos Baby Looney Tunes,5,2025-11-22 13:45:12+00:00,2025-11-22,14:49,Saturday
Cartoon Village,Cartoon Carousel,5,2025-11-22 13:45:12+00:00,2025-11-22,14:49,Saturday
Cartoon Village,Correcaminos Bip Bip,35,2025-11-22 13:45:12+00:00,2025-11-22,14:49,Saturday
Cartoon Village,La Aventura de Scooby-Doo,25,2025-11-22 13:45:12+00:00,2025-11-22,14:49,Saturday
Cartoon Village,La Captura de Gossamer,15,2025-11-22 13:45:12+00:00,2025-11-22,14:49,Saturday
Cartoon Village,Looney Tunes Correo Aéreo,10,2025-11-22 13:45:12+00:00,2025-11-22,14:49,Saturday
DC Super Heroes World,Batman Gotham City Escape,20,2025-11-22 13:45:12+00:00,2025-11-22,14:49,Saturday
DC Super Heroes World,La Venganza del Enigma,10,2025-11-22 13:45:12+00:00,2025-11-22,14:49,Saturday
DC Super Heroes World,Mr. Freeze Fábrica de Hielo,5,2025-11-22 13:45:12+00:00,2025-11-22,14:49,Saturday
DC Super Heroes World,Shadows of Arkham,5,2025-11-22 13:45:12+00:00,2025-11-22,14:49,Saturday
DC Super Heroes World,Superman La Atracción de Acero,20,2025-11-22 13:45:12+00:00,2025-11-22,14:49,Saturday
DC Super Heroes World,The Joker Coches de Choque,10,2025-11-22 13:45:12+00:00,2025-11-22,14:49,Saturday
Movie World Studios,Cine Tour,10,2025-11-22 13:45:12+00:00,2025-11-22,14:49,Saturday
Movie World Studios,Stunt Fall,5,2025-11-22 13:45:12+00:00,2025-11-22,14:49,Saturday
Old West Territory,Coaster Express,20,2025-11-22 13:45:12+00:00,2025-11-22,14:49,Saturday
Old West Territory,Los Carros de la Mina,5,2025-11-22 13:45:12+00:00,2025-11-22,14:49,Saturday
